CJID	Manager List	Path
232	KidsLiveSafe: 76	maelstrom
1640	Premier Offers Direct: 1786	maelstrom
1982	Premier Offers Direct: 1786	maelstrom
3499	Ford/iMotors: 1967	maelstrom
3500	Instant Checkmate: 1968	maelstrom
3501	Clear Compass Payday: 1969	maelstrom
3502	Rent to Own: 1966	maelstrom
3727	lbc_308 smartping: 2024	maelstrom
3729	lbc_550 pingtreee: 2025	maelstrom
5699	SpyFly: 2209	maelstrom
6246	MommyandMe: 2270	maelstrom
7521	new aspire data: 2443	maelstrom
7843	solar home data: 2335	maelstrom
7844	cashloancapital: 2336	maelstrom
7845	new aspire data: 2443	maelstrom
7892	installmentloanexperts : 2492	maelstrom
7893	mybesthealthplan: 2493	maelstrom
7894	insuredatlast: 2494	maelstrom
7895	paydaypig: 2495	maelstrom
7896	5minutemoney new: 2496	maelstrom
8654	universityhub: 2572	maelstrom
8655	couponsalarms: 2571	maelstrom
8656	freestocktraders: 2570	maelstrom
8657	mommiessavingsclub.com: 2569	maelstrom
8658	mortgagepaymentassist.com: 2568	maelstrom
8659	mortgagepaymentassist.com: 2568	maelstrom
8660	magazinesdirect: 2566	maelstrom
9525	PublicDataCheck: 2668	maelstrom
12861	InsuranceQuoteAdvantage: 2829	maelstrom
12862	disabilityapprovalguide.com (800 1397): 2827	maelstrom
12863	DegreeSearch.org: 2831	maelstrom
12864	savingmakesmoney: 2830	maelstrom
12865	home_internet_careers.com: 2832	maelstrom
12910	allaboutcreditnow.com: 2834	maelstrom
12912	loanmoneynow.com: 2833	maelstrom
13194	NeverForgetLotto: 2666	maelstrom
13195	PublicDataCheck: 2668	maelstrom
13196	home_internet_careers.com: 2832	maelstrom
14054	247creditloan.com: 2498	maelstrom
14436	home_internet_careers.com: 2832	maelstrom
14437	savingmakesmoney: 2830	maelstrom
14439	NeverForgetLotto: 2666	maelstrom
14442	247creditloan.com: 2498	maelstrom
14444	SpyFly: 2209	maelstrom
14884	mommiessavingsclub.com: 2569	maelstrom
15526	MNB mynectarcard: 2871	popularmarketing
15528	MNB Jobs: 2759	popularmarketing
15530	Lucid _ Cash_Hunter: 2866	popularmarketing
15619	MNB creditcardchest.com 656: 3017	popularmarketing
16481	MNB wantanewcareer.com 149 1096: 3051	popularmarketing
16483	T2 citizensinsurancedisability.com (937): 3053	popularmarketing
16693	MNB OfferX 676: 3070	popularmarketing
16778	persopo.com (837): 3085	maelstrom
18281	MNB degreematch.com (876): 3193	popularmarketing
18349	degreematch.com (876): 3197	maelstrom
19317	MNB rentownhomelistings.com (887): 3242	popularmarketing
21346	MNB OPF Mixed Survey Feed 1 (894): 3366	popularmarketing
21960	AQH USA Medical Card MNB Feed: 3245	popularmarketing
23007	MNB publicdatacheck.com (721): 3433	popularmarketing
23139	MNB probioslim.com (916): 3436	popularmarketing
23658	MNB yourcarinsuranceforless.com (914): 3454	popularmarketing
26276	Mailarix cox.com WildCard Feed: 3513	popularmarketing
26277	Mailarix att.net WildCard Feed: 3514	popularmarketing
26278	Mailarix bellsouth.net WildCard Feed: 3515	popularmarketing
26279	Mailarix comcast.net WildCard Feed: 3517	popularmarketing
26280	Mailarix sbcglobal.net WildCard Feed: 3525	popularmarketing
26859	Mailarix mail.com WildCard Feed: 3516	popularmarketing
26864	VR classesandcareers.com (938): 3569	popularmarketing
28329	Mailarix US GI Wildcard Feed: 3607	popularmarketing
29957	T2 benefitsapplication.com (29 28 4 5 665): 3644	popularmarketing
30079	VR campusbabble.com (956): 3618	popularmarketing
30080	VR campusbabble.com (956): 3618	popularmarketing
30281	localjobster.com (941): 3705	maelstrom
30282	classesandcareers.com (938): 3707	maelstrom
30284	NutraClick Data Feed (967): 3706	maelstrom
32049	everydayfinancehelp.com (932): 3770	popularmarketing
33139	dating-hackers.com (1071): 3788	pop_internal_jn
34900	UA Payday Data Feed (1044): 3896	pop_internal_mnb
35934	ProPath EDU 1057 1114 1131 1222 (PM_PPEDU): 3965	pop_internal_mnb
37088	dermologykit.com (998): 4038	maelstrom
37089	renttoownlistingz.com (1003): 4039	maelstrom
37340	jobsonline.com (1078): 4050	pop_internal_mnb
38772	citizensinsurancedisability.com (937): 4105	maelstrom
38774	jobshark.co (1084): 4107	maelstrom
40134	insuredatlast.com Medicare (1100): 4169	maelstrom
41903	collegeplacementhelp.com (1114): 4282	pop_internal_mnb
42484	localjobster.com (1130 1120): 4319	pop_internal_mnb
43163	creditcardselect.net (1124): 4347	pop_internal_mnb
43884	careerfindernow.com(1131): 4357	pop_internal_mnb
45554	loanstart.com (1110): 4487	pop_internal_mnb
45843	surveypagestoday.com (1038): 4515	maelstrom
45845	loanstart.com (1110): 4516	maelstrom
45847	jobsonline.com (1319): 4517	maelstrom
45849	myhomejobsearch.com (1422): 4518	maelstrom
45851	theeducationpros.com (1121): 4519	maelstrom
45853	collegeplacementhelp.com (1114): 4520	maelstrom
45855	247lendinggroup.com (1186 1086): 4521	maelstrom
45857	findmeadegree.com (1159): 4522	maelstrom
45901	carloananswer.com (1174): 4549	maelstrom
45915	simplifiedchoiceinsurancesolutions.com (1177): 4569	maelstrom
46505	file-4-grants.com (1213): 4677	pop_internal_mnb
46531	JN iCloud Wildcard: 4717	pop_internal_mnb
46537	JN Cables Wildcard: 4733	pop_internal_mnb
46556	Internal AR Openers (All): 4753	pop_internal_jn
46611	localjobpositions.com (1275): 4839	pop_internal_jn
46613	koraljobs.com (1269): 4814	pop_internal_jn
46614	collegeoverview.com (1267): 4813	pop_internal_jn
46636	AR Openers: 4864	maelstrom
46642	imotors.com PM_IM (58): 4502	pop_internal_jn
46651	startjobs.com Gmail Only (718): 4905	pop_internal_jn
46652	classesandcareers.com Gmail Only (938): 4906	pop_internal_jn
46653	edufirst.biz (1312): 4916	pop_internal_jn
46659	jobsonline.com (1319): 4931	pop_internal_jn
46660	careerlistingservice.com (1320): 4932	pop_internal_jn
46662	VR directeducationcenter.com (499): 3589	pop_internal_jn
46664	dating-hackers.com GI and Cables Only (1071): 4942	pop_internal_jn
46701	scholarships4moms.net (1328): 4953	pop_internal_jn
46745	instantadvancepay.com (1309): 5049	ambetechsolutions
46759	startjobs.co (1378): 5063	pop_internal_jn
46773	yourcardsearch.com / e-loanplace.com (1374): 5058	pop_internal_jn
46785	moneysolver.org (1391): 5095	pop_internal_jn
46793	premiumrewardszone.com (1394): 5104	pop_internal_jn
46801	Limitless Openers (1399): 5114	pop_internal_jn
46819	easycollegefinder.com (1401): 5123	pop_internal_jn
46832	myjobfinders.com (1405): 5136	pop_internal_jn
46844	Internal AR Openers Apple Only (1289): 5150	pop_internal_jn
46857	Yahoo Only (1405 1365 1406 1373): 5161	sandstream
46861	myjobfinders.com Comcast Only (1405): 5164	pop_internal_jn
46863	directeducationcenter.com Comcast Only (499): 5165	pop_internal_jn
46864	Payday Premium (1073 1074 1380): 5166	pop_internal_jn
46884	jobhunterhq.com (1412): 5173	pop_internal_jn
46896	newjobsearchers.com (1418): 5185	pop_internal_jn
46924	firstquotehealth.com (1245): 4921	pop_internal_jn
